selected_index,dataset_split,camera,video_file,episode_index,frame_index,timestamp_seconds,source_frame,output_file,selection_reason,notes
12,short,head_left,file-000.mp4,28,5450,181.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000028_frame005450_t181667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000028_frame005450_t181667.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.118830; brightness=0.582713; contrast=0.155829; edge_density=0.128385; sharpness=0.003702
13,short,head_left,file-000.mp4,28,5530,184.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000028_frame005530_t184333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000028_frame005530_t184333.jpg,stratified_coverage,hard_score=0.113073; brightness=0.581237; contrast=0.151005; edge_density=0.115677; sharpness=0.003528
14,short,head_left,file-000.mp4,31,6010,200.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000031_frame006010_t200333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000031_frame006010_t200333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.119173; brightness=0.583550; contrast=0.156154; edge_density=0.127865; sharpness=0.003785
15,short,head_left,file-000.mp4,31,6090,203.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000031_frame006090_t203000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000031_frame006090_t203000.jpg,stratified_coverage,hard_score=0.117125; brightness=0.581844; contrast=0.153998; edge_density=0.125677; sharpness=0.003746
16,short,head_left,file-000.mp4,33,6490,216.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000033_frame006490_t216333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000033_frame006490_t216333.jpg,stratified_coverage,hard_score=0.111251; brightness=0.567932; contrast=0.161205; edge_density=0.123281; sharpness=0.003799
17,short,head_left,file-000.mp4,35,6890,229.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000035_frame006890_t229667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000035_frame006890_t229667.jpg,stratified_coverage,hard_score=0.112012; brightness=0.582254; contrast=0.148728; edge_density=0.112344; sharpness=0.003282
18,short,head_left,file-000.mp4,38,7370,245.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000038_frame007370_t245667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000038_frame007370_t245667.jpg,stratified_coverage,hard_score=0.112340; brightness=0.577567; contrast=0.152540; edge_density=0.118073; sharpness=0.003471
19,short,head_left,file-000.mp4,40,7690,256.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000040_frame007690_t256333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000040_frame007690_t256333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117320; brightness=0.582034; contrast=0.159151; edge_density=0.121719; sharpness=0.003899
20,short,head_left,file-000.mp4,40,7770,259.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000040_frame007770_t259000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000040_frame007770_t259000.jpg,stratified_coverage,hard_score=0.117047; brightness=0.574313; contrast=0.160126; edge_density=0.132865; sharpness=0.003731
21,short,head_left,file-000.mp4,40,7850,261.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000040_frame007850_t261667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000040_frame007850_t261667.jpg,stratified_coverage,hard_score=0.113336; brightness=0.582354; contrast=0.149885; edge_density=0.115625; sharpness=0.003387
22,short,head_left,file-000.mp4,43,8330,277.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000043_frame008330_t277667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000043_frame008330_t277667.jpg,stratified_coverage,hard_score=0.113434; brightness=0.571794; contrast=0.159458; edge_density=0.125573; sharpness=0.003767
23,short,head_left,file-000.mp4,45,8650,288.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000045_frame008650_t288333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000045_frame008650_t288333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117412; brightness=0.581499; contrast=0.157526; edge_density=0.124271; sharpness=0.003899
24,short,head_left,file-000.mp4,45,8730,291.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000045_frame008730_t291000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000045_frame008730_t291000.jpg,stratified_coverage,hard_score=0.112824; brightness=0.578353; contrast=0.153151; edge_density=0.117865; sharpness=0.003485
25,short,head_left,file-000.mp4,47,9210,307.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000047_frame009210_t307000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000047_frame009210_t307000.jpg,stratified_coverage,hard_score=0.112452; brightness=0.587933; contrast=0.145817; edge_density=0.106771; sharpness=0.003109
26,short,head_left,file-000.mp4,50,9690,323.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000050_frame009690_t323000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000050_frame009690_t323000.jpg,stratified_coverage,hard_score=0.108745; brightness=0.566075; contrast=0.163081; edge_density=0.116458; sharpness=0.003495
27,short,head_left,file-000.mp4,52,10010,333.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000052_frame010010_t333667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000052_frame010010_t333667.jpg,stratified_coverage,hard_score=0.117181; brightness=0.578867; contrast=0.158490; edge_density=0.127083; sharpness=0.003721
28,short,head_left,file-000.mp4,52,10170,339.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000052_frame010170_t339000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000052_frame010170_t339000.jpg,stratified_coverage,hard_score=0.111383; brightness=0.587915; contrast=0.145015; edge_density=0.103906; sharpness=0.002999
29,short,head_left,file-000.mp4,54,10410,347.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000054_frame010410_t347000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000054_frame010410_t347000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117533; brightness=0.567843; contrast=0.165259; edge_density=0.140990; sharpness=0.004166
30,short,head_left,file-000.mp4,55,10570,352.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000055_frame010570_t352333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000055_frame010570_t352333.jpg,stratified_coverage,hard_score=0.116250; brightness=0.580664; contrast=0.160110; edge_density=0.119635; sharpness=0.003807
31,short,head_left,file-000.mp4,57,11050,368.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000057_frame011050_t368333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000057_frame011050_t368333.jpg,stratified_coverage,hard_score=0.111819; brightness=0.572091; contrast=0.157843; edge_density=0.121042; sharpness=0.003599
32,short,head_left,file-000.mp4,60,11530,384.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000060_frame011530_t384333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000060_frame011530_t384333.jpg,stratified_coverage,hard_score=0.116533; brightness=0.579088; contrast=0.161517; edge_density=0.122031; sharpness=0.004038
33,short,head_left,file-000.mp4,62,12010,400.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000062_frame012010_t400333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000062_frame012010_t400333.jpg,stratified_coverage,hard_score=0.108303; brightness=0.558880; contrast=0.165140; edge_density=0.125260; sharpness=0.003697
34,short,head_left,file-000.mp4,64,12410,413.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000064_frame012410_t413667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000064_frame012410_t413667.jpg,stratified_coverage,hard_score=0.111472; brightness=0.574441; contrast=0.154694; edge_density=0.118594; sharpness=0.003611
35,short,head_left,file-000.mp4,65,12490,416.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000065_frame012490_t416333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000065_frame012490_t416333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117352; brightness=0.581208; contrast=0.159305; edge_density=0.123073; sharpness=0.003932
36,short,head_left,file-000.mp4,66,12740,424.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000066_frame012740_t424667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000066_frame012740_t424667.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117374; brightness=0.569621; contrast=0.163066; edge_density=0.139323; sharpness=0.003943
37,short,head_left,file-000.mp4,67,12900,430.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000067_frame012900_t430000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000067_frame012900_t430000.jpg,stratified_coverage,hard_score=0.116573; brightness=0.577614; contrast=0.156876; edge_density=0.128490; sharpness=0.003658
38,short,head_left,file-000.mp4,68,13060,435.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000068_frame013060_t435333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000068_frame013060_t435333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.119148; brightness=0.584331; contrast=0.155869; edge_density=0.126719; sharpness=0.003726
39,short,head_left,file-000.mp4,69,13380,446.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000069_frame013380_t446000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000069_frame013380_t446000.jpg,stratified_coverage,hard_score=0.112751; brightness=0.576023; contrast=0.153895; edge_density=0.120885; sharpness=0.003523
40,short,head_left,file-000.mp4,72,13860,462.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000072_frame013860_t462000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000072_frame013860_t462000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117364; brightness=0.581034; contrast=0.153889; edge_density=0.127917; sharpness=0.003630
41,short,head_left,file-000.mp4,73,14020,467.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000073_frame014020_t467333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000073_frame014020_t467333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117740; brightness=0.583967; contrast=0.157152; edge_density=0.121563; sharpness=0.003659
42,short,head_left,file-000.mp4,74,14260,475.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000074_frame014260_t475333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000074_frame014260_t475333.jpg,stratified_coverage,hard_score=0.113383; brightness=0.577898; contrast=0.153172; edge_density=0.120469; sharpness=0.003558
43,short,head_left,file-000.mp4,76,14740,491.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000076_frame014740_t491333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000076_frame014740_t491333.jpg,stratified_coverage,hard_score=0.109251; brightness=0.563918; contrast=0.163919; edge_density=0.121042; sharpness=0.003617
44,short,head_left,file-000.mp4,78,14980,499.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000078_frame014980_t499333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000078_frame014980_t499333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.118403; brightness=0.584764; contrast=0.156709; edge_density=0.122813; sharpness=0.003779
45,short,head_left,file-000.mp4,79,15220,507.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000079_frame015220_t507333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000079_frame015220_t507333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.120849; brightness=0.580207; contrast=0.161169; edge_density=0.134844; sharpness=0.003952
46,short,head_left,file-000.mp4,79,15300,510.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000079_frame015300_t510000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000079_frame015300_t510000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.119387; brightness=0.577311; contrast=0.160550; edge_density=0.135313; sharpness=0.004000
47,short,head_left,file-000.mp4,81,15620,520.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000081_frame015620_t520667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000081_frame015620_t520667.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117753; brightness=0.587595; contrast=0.149760; edge_density=0.121719; sharpness=0.003495
48,short,head_left,file-000.mp4,81,15700,523.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000081_frame015700_t523333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000081_frame015700_t523333.jpg,stratified_coverage,hard_score=0.113529; brightness=0.585657; contrast=0.149989; edge_density=0.110677; sharpness=0.003321
49,short,head_left,file-000.mp4,83,15940,531.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000083_frame015940_t531333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000083_frame015940_t531333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117725; brightness=0.583999; contrast=0.156589; edge_density=0.121927; sharpness=0.003772
50,short,head_left,file-000.mp4,83,16100,536.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000083_frame016100_t536667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000083_frame016100_t536667.jpg,stratified_coverage,hard_score=0.113370; brightness=0.582062; contrast=0.149109; edge_density=0.116875; sharpness=0.003341
51,short,head_left,file-000.mp4,86,16580,552.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000086_frame016580_t552667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000086_frame016580_t552667.jpg,stratified_coverage,hard_score=0.112877; brightness=0.571973; contrast=0.158625; edge_density=0.124115; sharpness=0.003654
52,short,head_left,file-000.mp4,88,17060,568.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000088_frame017060_t568667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000088_frame017060_t568667.jpg,stratified_coverage,hard_score=0.111002; brightness=0.581775; contrast=0.149018; edge_density=0.109531; sharpness=0.003255
53,short,head_left,file-000.mp4,91,17540,584.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000091_frame017540_t584667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000091_frame017540_t584667.jpg,stratified_coverage,hard_score=0.117263; brightness=0.579131; contrast=0.157041; edge_density=0.128125; sharpness=0.003726
54,short,head_left,file-000.mp4,93,17860,595.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000093_frame017860_t595333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000093_frame017860_t595333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117573; brightness=0.583398; contrast=0.156870; edge_density=0.122188; sharpness=0.003617
55,short,head_left,file-000.mp4,93,17940,598.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000093_frame017940_t598000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000093_frame017940_t598000.jpg,stratified_coverage,hard_score=0.107871; brightness=0.563767; contrast=0.164076; edge_density=0.116562; sharpness=0.003505
56,short,head_left,file-000.mp4,95,18260,608.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000095_frame018260_t608667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000095_frame018260_t608667.jpg,stratified_coverage,hard_score=0.116897; brightness=0.580621; contrast=0.156097; edge_density=0.125208; sharpness=0.003706
57,short,head_left,file-000.mp4,95,18420,614.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000095_frame018420_t614000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000095_frame018420_t614000.jpg,stratified_coverage,hard_score=0.112156; brightness=0.586515; contrast=0.146218; edge_density=0.107813; sharpness=0.003103
58,short,head_left,file-000.mp4,98,18820,627.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000098_frame018820_t627333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000098_frame018820_t627333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.118190; brightness=0.584209; contrast=0.155906; edge_density=0.123698; sharpness=0.003615
59,short,head_left,file-000.mp4,98,18900,630.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000098_frame018900_t630000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000098_frame018900_t630000.jpg,stratified_coverage,hard_score=0.112448; brightness=0.579503; contrast=0.152409; edge_density=0.115312; sharpness=0.003394
60,short,head_left,file-000.mp4,100,19380,646.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000100_frame019380_t646000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000100_frame019380_t646000.jpg,stratified_coverage,hard_score=0.111339; brightness=0.581591; contrast=0.147671; edge_density=0.112083; sharpness=0.003246
61,short,head_left,file-000.mp4,103,19780,659.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000103_frame019780_t659333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000103_frame019780_t659333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117704; brightness=0.584585; contrast=0.156273; edge_density=0.121146; sharpness=0.003747
62,short,head_left,file-000.mp4,103,19860,662.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000103_frame019860_t662000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000103_frame019860_t662000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117493; brightness=0.582068; contrast=0.154525; edge_density=0.126094; sharpness=0.003626
63,short,head_left,file-000.mp4,105,20260,675.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000105_frame020260_t675333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000105_frame020260_t675333.jpg,stratified_coverage,hard_score=0.110677; brightness=0.574844; contrast=0.154708; edge_density=0.115260; sharpness=0.003392
64,short,head_left,file-000.mp4,108,20740,691.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000108_frame020740_t691333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000108_frame020740_t691333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.118686; brightness=0.583292; contrast=0.157409; edge_density=0.125625; sharpness=0.003733
65,short,head_left,file-000.mp4,110,21230,707.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000110_frame021230_t707667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000110_frame021230_t707667.jpg,stratified_coverage,hard_score=0.107752; brightness=0.562324; contrast=0.164047; edge_density=0.118594; sharpness=0.003512
66,short,head_left,file-000.mp4,113,21710,723.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000113_frame021710_t723667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000113_frame021710_t723667.jpg,stratified_coverage,hard_score=0.116165; brightness=0.578774; contrast=0.158861; edge_density=0.123542; sharpness=0.003888
67,short,head_left,file-000.mp4,115,22110,737.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000115_frame022110_t737000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000115_frame022110_t737000.jpg,stratified_coverage,hard_score=0.115028; brightness=0.565546; contrast=0.166834; edge_density=0.135156; sharpness=0.004122
68,short,head_left,file-000.mp4,117,22590,753.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000117_frame022590_t753000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000117_frame022590_t753000.jpg,stratified_coverage,hard_score=0.110298; brightness=0.569940; contrast=0.156563; edge_density=0.120625; sharpness=0.003599
69,short,head_left,file-000.mp4,120,23070,769.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000120_frame023070_t769000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000120_frame023070_t769000.jpg,stratified_coverage,hard_score=0.117079; brightness=0.579680; contrast=0.155207; edge_density=0.128125; sharpness=0.003641
70,short,head_left,file-000.mp4,122,23470,782.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000122_frame023470_t782333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000122_frame023470_t782333.jpg,stratified_coverage,hard_score=0.117057; brightness=0.579599; contrast=0.157717; edge_density=0.126094; sharpness=0.003785
71,short,head_left,file-000.mp4,122,23550,785.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000122_frame023550_t785000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000122_frame023550_t785000.jpg,stratified_coverage,hard_score=0.115885; brightness=0.577488; contrast=0.156754; edge_density=0.126510; sharpness=0.003706
72,short,head_left,file-000.mp4,124,23950,798.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000124_frame023950_t798333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000124_frame023950_t798333.jpg,stratified_coverage,hard_score=0.112253; brightness=0.563667; contrast=0.164990; edge_density=0.130573; sharpness=0.003871
73,short,head_left,file-000.mp4,127,24430,814.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000127_frame024430_t814333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000127_frame024430_t814333.jpg,stratified_coverage,hard_score=0.114823; brightness=0.577945; contrast=0.154589; edge_density=0.124010; sharpness=0.003688
74,short,head_left,file-000.mp4,129,24910,830.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000129_frame024910_t830333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000129_frame024910_t830333.jpg,stratified_coverage,hard_score=0.111276; brightness=0.568288; contrast=0.160717; edge_density=0.123177; sharpness=0.003641
